month,region,cases,genomes
2019-01-01,SS,3.0,0.0
2019-02-01,SS,7.0,0.0
2019-03-01,SS,1.0,0.0
2019-04-01,SS,2.0,0.0
2019-05-01,SS,3.0,0.0
2019-06-01,SS,2.0,0.0
2019-07-01,SS,4.0,0.0
2019-08-01,SS,0.0,0.0
2019-09-01,SS,0.0,0.0
2019-10-01,SS,1.0,0.0
2019-11-01,SS,0.0,0.0
2019-12-01,SS,1.0,0.0
2020-01-01,SS,0.0,0.0
2020-02-01,SS,0.0,0.0
2020-03-01,SS,0.0,0.0
2020-04-01,SS,0.0,0.0
2020-05-01,SS,0.0,0.0
2020-06-01,SS,0.0,0.0
2020-07-01,SS,0.0,0.0
2020-08-01,SS,0.0,0.0
2020-09-01,SS,0.0,0.0
2020-10-01,SS,1.0,0.0
2020-11-01,SS,0.0,0.0
2020-12-01,SS,1.0,0.0
2021-01-01,SS,2.0,0.0
2021-02-01,SS,1.0,0.0
2021-03-01,SS,0.0,0.0
2021-04-01,SS,1.0,0.0
2021-05-01,SS,2.0,0.0
2021-06-01,SS,3.0,0.0
2021-07-01,SS,6.0,0.0
2021-08-01,SS,1.0,0.0
2021-09-01,SS,1.0,0.0
2021-10-01,SS,3.0,0.0
2021-11-01,SS,3.0,0.0
2021-12-01,SS,1.0,0.0
2022-01-01,SS,0.0,0.0
2022-02-01,SS,0.0,0.0
2022-03-01,SS,3.0,0.0
2022-04-01,SS,1.0,0.0
2022-05-01,SS,3.0,0.0
2022-06-01,SS,17.0,0.0
2022-07-01,SS,23.0,0.0
2022-08-01,SS,8.0,0.0
2022-09-01,SS,33.0,0.0
2022-10-01,SS,27.0,0.0
2022-11-01,SS,19.0,0.0
2022-12-01,SS,11.0,4.0
2023-01-01,SS,0.0,6.0
2023-02-01,SS,0.0,0.0
2023-03-01,SS,0.0,0.0
2023-04-01,SS,0.0,0.0
2023-05-01,SS,0.0,0.0
2023-06-01,SS,0.0,0.0
2023-07-01,SS,0.0,0.0
2023-08-01,SS,0.0,0.0
2023-09-01,SS,0.0,1.0
2023-10-01,SS,0.0,0.0
2023-11-01,SS,0.0,0.0
2023-12-01,SS,0.0,0.0
2024-01-01,SS,0.0,0.0
2024-02-01,SS,4.0,0.0
2024-03-01,SS,5.0,0.0
2024-04-01,SS,2.0,0.0
2024-05-01,SS,0.0,0.0
2024-06-01,SS,2.0,0.0
2024-07-01,SS,0.0,0.0
2024-08-01,SS,7.0,8.0
2024-09-01,SS,12.0,18.0
2024-10-01,SS,8.0,19.0
2024-11-01,SS,2.0,10.0
2024-12-01,SS,8.0,10.0
2025-01-01,SS,11.0,20.0
2025-02-01,SS,7.0,14.0
2025-03-01,SS,12.0,10.0
2025-04-01,SS,4.0,5.0
2025-05-01,SS,4.0,5.0
2025-06-01,SS,11.0,4.0
2025-07-01,SS,6.0,0.0
2025-08-01,SS,10.0,6.0
2025-09-01,SS,5.0,5.0
2025-10-01,SS,9.0,1.0
2025-11-01,SS,0.0,0.0
2025-12-01,SS,0.0,0.0
2017-01-01,SE,0.0,0.0
2017-02-01,SE,0.0,0.0
2017-03-01,SE,0.0,0.0
2017-04-01,SE,0.0,0.0
2017-05-01,SE,0.0,0.0
2017-06-01,SE,0.0,0.0
2017-07-01,SE,1.0,0.0
2017-08-01,SE,0.0,0.0
2017-09-01,SE,1.0,0.0
2017-10-01,SE,3.0,0.0
2017-11-01,SE,2.0,0.0
2017-12-01,SE,0.0,0.0
2018-01-01,SE,2.0,0.0
2018-02-01,SE,1.0,0.0
2018-03-01,SE,2.0,0.0
2018-04-01,SE,1.0,0.0
2018-05-01,SE,0.0,0.0
2018-06-01,SE,1.0,0.0
2018-07-01,SE,0.0,0.0
2018-08-01,SE,0.0,0.0
2018-09-01,SE,0.0,0.0
2018-10-01,SE,0.0,0.0
2018-11-01,SE,0.0,0.0
2018-12-01,SE,0.0,0.0
2019-01-01,SE,1.0,0.0
2019-02-01,SE,0.0,0.0
2019-03-01,SE,0.0,0.0
2019-04-01,SE,0.0,0.0
2019-05-01,SE,0.0,0.0
2019-06-01,SE,0.0,0.0
2019-07-01,SE,1.0,0.0
2019-08-01,SE,0.0,0.0
2019-09-01,SE,0.0,0.0
2019-10-01,SE,0.0,0.0
2019-11-01,SE,0.0,0.0
2019-12-01,SE,0.0,0.0
2020-01-01,SE,0.0,0.0
2020-02-01,SE,0.0,0.0
2020-03-01,SE,0.0,0.0
2020-04-01,SE,0.0,0.0
2020-05-01,SE,0.0,0.0
2020-06-01,SE,0.0,0.0
2020-07-01,SE,0.0,0.0
2020-08-01,SE,0.0,0.0
2020-09-01,SE,1.0,0.0
2020-10-01,SE,0.0,0.0
2020-11-01,SE,0.0,0.0
2020-12-01,SE,0.0,0.0
2021-01-01,SE,0.0,0.0
2021-02-01,SE,0.0,0.0
2021-03-01,SE,0.0,0.0
2021-04-01,SE,0.0,0.0
2021-05-01,SE,0.0,0.0
2021-06-01,SE,0.0,0.0
2021-07-01,SE,0.0,0.0
2021-08-01,SE,0.0,0.0
2021-09-01,SE,0.0,0.0
2021-10-01,SE,0.0,0.0
2021-11-01,SE,0.0,0.0
2021-12-01,SE,0.0,0.0
2022-01-01,SE,1.0,0.0
2022-02-01,SE,0.0,0.0
2022-03-01,SE,0.0,0.0
2022-04-01,SE,0.0,0.0
2022-05-01,SE,0.0,0.0
2022-06-01,SE,2.0,0.0
2022-07-01,SE,10.0,0.0
2022-08-01,SE,6.0,0.0
2022-09-01,SE,26.0,0.0
2022-10-01,SE,38.0,0.0
2022-11-01,SE,21.0,0.0
2022-12-01,SE,10.0,4.0
2023-01-01,SE,0.0,6.0
2023-02-01,SE,0.0,0.0
2023-03-01,SE,0.0,0.0
2023-04-01,SE,0.0,0.0
2023-05-01,SE,0.0,0.0
2023-06-01,SE,0.0,0.0
2023-07-01,SE,0.0,0.0
2023-08-01,SE,0.0,0.0
2023-09-01,SE,0.0,1.0
2023-10-01,SE,0.0,0.0
2023-11-01,SE,0.0,0.0
2023-12-01,SE,0.0,0.0
2024-01-01,SE,2.0,0.0
2024-02-01,SE,1.0,0.0
2024-03-01,SE,0.0,0.0
2024-04-01,SE,2.0,0.0
2024-05-01,SE,0.0,0.0
2024-06-01,SE,1.0,0.0
2024-07-01,SE,0.0,0.0
2024-08-01,SE,7.0,8.0
2024-09-01,SE,2.0,18.0
2024-10-01,SE,2.0,19.0
2024-11-01,SE,5.0,10.0
2024-12-01,SE,5.0,10.0
2025-01-01,SE,10.0,20.0
2025-02-01,SE,5.0,14.0
2025-03-01,SE,1.0,10.0
2025-04-01,SE,0.0,5.0
2025-05-01,SE,0.0,5.0
2025-06-01,SE,0.0,4.0
2025-07-01,SE,1.0,0.0
2025-08-01,SE,3.0,6.0
2025-09-01,SE,1.0,5.0
2025-10-01,SE,7.0,1.0
2025-11-01,SE,0.0,0.0
2025-12-01,SE,0.0,0.0
2017-01-01,NC,0.0,0.0
2017-02-01,NC,0.0,0.0
2017-03-01,NC,0.0,0.0
2017-04-01,NC,0.0,0.0
2017-05-01,NC,0.0,0.0
2017-06-01,NC,0.0,0.0
2017-07-01,NC,0.0,0.0
2017-08-01,NC,0.0,0.0
2017-09-01,NC,1.0,0.0
2017-10-01,NC,4.0,0.0
2017-11-01,NC,2.0,0.0
2017-12-01,NC,1.0,0.0
2018-01-01,NC,0.0,0.0
2018-02-01,NC,1.0,0.0
2018-03-01,NC,1.0,0.0
2018-04-01,NC,0.0,0.0
2018-05-01,NC,1.0,0.0
2018-06-01,NC,0.0,0.0
2018-07-01,NC,0.0,0.0
2018-08-01,NC,0.0,0.0
2018-09-01,NC,0.0,0.0
2018-10-01,NC,0.0,0.0
2018-11-01,NC,0.0,0.0
2018-12-01,NC,0.0,0.0
2019-01-01,NC,1.0,0.0
2019-02-01,NC,0.0,0.0
2019-03-01,NC,0.0,0.0
2019-04-01,NC,0.0,0.0
2019-05-01,NC,0.0,0.0
2019-06-01,NC,0.0,0.0
2019-07-01,NC,0.0,0.0
2019-08-01,NC,0.0,0.0
2019-09-01,NC,0.0,0.0
2019-10-01,NC,0.0,0.0
2019-11-01,NC,0.0,0.0
2019-12-01,NC,0.0,0.0
2020-01-01,NC,1.0,0.0
2020-02-01,NC,0.0,0.0
2020-03-01,NC,0.0,0.0
2020-04-01,NC,0.0,0.0
2020-05-01,NC,0.0,0.0
2020-06-01,NC,0.0,0.0
2020-07-01,NC,0.0,0.0
2020-08-01,NC,0.0,0.0
2020-09-01,NC,0.0,0.0
2020-10-01,NC,0.0,0.0
2020-11-01,NC,0.0,0.0
2020-12-01,NC,0.0,0.0
2021-01-01,NC,0.0,0.0
2021-02-01,NC,0.0,0.0
2021-03-01,NC,0.0,0.0
2021-04-01,NC,0.0,0.0
2021-05-01,NC,0.0,0.0
2021-06-01,NC,0.0,0.0
2021-07-01,NC,2.0,0.0
2021-08-01,NC,0.0,0.0
2021-09-01,NC,0.0,0.0
2021-10-01,NC,0.0,0.0
2021-11-01,NC,0.0,0.0
2021-12-01,NC,0.0,0.0
2022-01-01,NC,1.0,0.0
2022-02-01,NC,0.0,0.0
2022-03-01,NC,0.0,0.0
2022-04-01,NC,1.0,0.0
2022-05-01,NC,1.0,0.0
2022-06-01,NC,11.0,0.0
2022-07-01,NC,13.0,0.0
2022-08-01,NC,51.0,0.0
2022-09-01,NC,20.0,0.0
2022-10-01,NC,11.0,0.0
2022-11-01,NC,18.0,0.0
2022-12-01,NC,7.0,4.0
2023-01-01,NC,0.0,6.0
2023-02-01,NC,0.0,0.0
2023-03-01,NC,0.0,0.0
2023-04-01,NC,0.0,0.0
2023-05-01,NC,0.0,0.0
2023-06-01,NC,0.0,0.0
2023-07-01,NC,0.0,0.0
2023-08-01,NC,0.0,0.0
2023-09-01,NC,0.0,1.0
2023-10-01,NC,0.0,0.0
2023-11-01,NC,0.0,0.0
2023-12-01,NC,0.0,0.0
2024-01-01,NC,0.0,0.0
2024-02-01,NC,0.0,0.0
2024-03-01,NC,1.0,0.0
2024-04-01,NC,1.0,0.0
2024-05-01,NC,1.0,0.0
2024-06-01,NC,3.0,0.0
2024-07-01,NC,0.0,0.0
2024-08-01,NC,3.0,8.0
2024-09-01,NC,9.0,18.0
2024-10-01,NC,7.0,19.0
2024-11-01,NC,5.0,10.0
2024-12-01,NC,7.0,10.0
2025-01-01,NC,1.0,20.0
2025-02-01,NC,4.0,14.0
2025-03-01,NC,9.0,10.0
2025-04-01,NC,5.0,5.0
2025-05-01,NC,0.0,5.0
2025-06-01,NC,3.0,4.0
2025-07-01,NC,3.0,0.0
2025-08-01,NC,2.0,6.0
2025-09-01,NC,4.0,5.0
2025-10-01,NC,2.0,1.0
2025-11-01,NC,0.0,0.0
2025-12-01,NC,0.0,0.0
2017-01-01,NW,0.0,0.0
2017-02-01,NW,0.0,0.0
2017-03-01,NW,0.0,0.0
2017-04-01,NW,0.0,0.0
2017-05-01,NW,0.0,0.0
2017-06-01,NW,0.0,0.0
2017-07-01,NW,0.0,0.0
2017-08-01,NW,0.0,0.0
2017-09-01,NW,0.0,0.0
2017-10-01,NW,0.0,0.0
2017-11-01,NW,0.0,0.0
2017-12-01,NW,0.0,0.0
2018-01-01,NW,0.0,0.0
2018-02-01,NW,0.0,0.0
2018-03-01,NW,0.0,0.0
2018-04-01,NW,0.0,0.0
2018-05-01,NW,0.0,0.0
2018-06-01,NW,0.0,0.0
2018-07-01,NW,0.0,0.0
2018-08-01,NW,0.0,0.0
2018-09-01,NW,0.0,0.0
2018-10-01,NW,0.0,0.0
2018-11-01,NW,0.0,0.0
2018-12-01,NW,0.0,0.0
2019-01-01,NW,0.0,0.0
2019-02-01,NW,0.0,0.0
2019-03-01,NW,0.0,0.0
2019-04-01,NW,1.0,0.0
2019-05-01,NW,0.0,0.0
2019-06-01,NW,0.0,0.0
2019-07-01,NW,0.0,0.0
2019-08-01,NW,0.0,0.0
2019-09-01,NW,0.0,0.0
2019-10-01,NW,0.0,0.0
2019-11-01,NW,0.0,0.0
2019-12-01,NW,0.0,0.0
2020-01-01,NW,0.0,0.0
2020-02-01,NW,0.0,0.0
2020-03-01,NW,0.0,0.0
2020-04-01,NW,0.0,0.0
2020-05-01,NW,0.0,0.0
2020-06-01,NW,0.0,0.0
2020-07-01,NW,0.0,0.0
2020-08-01,NW,0.0,0.0
2020-09-01,NW,0.0,0.0
2020-10-01,NW,0.0,0.0
2020-11-01,NW,0.0,0.0
2020-12-01,NW,0.0,0.0
2021-01-01,NW,0.0,0.0
2021-02-01,NW,0.0,0.0
2021-03-01,NW,0.0,0.0
2021-04-01,NW,0.0,0.0
2021-05-01,NW,0.0,0.0
2021-06-01,NW,0.0,0.0
2021-07-01,NW,0.0,0.0
2021-08-01,NW,0.0,0.0
2021-09-01,NW,0.0,0.0
2021-10-01,NW,0.0,0.0
2021-11-01,NW,0.0,0.0
2021-12-01,NW,0.0,0.0
2022-01-01,NW,0.0,0.0
2022-02-01,NW,0.0,0.0
2022-03-01,NW,1.0,0.0
2022-04-01,NW,1.0,0.0
2022-05-01,NW,0.0,0.0
2022-06-01,NW,1.0,0.0
2022-07-01,NW,4.0,0.0
2022-08-01,NW,10.0,0.0
2022-09-01,NW,11.0,0.0
2022-10-01,NW,5.0,0.0
2022-11-01,NW,5.0,0.0
2022-12-01,NW,1.0,4.0
2023-01-01,NW,0.0,6.0
2023-02-01,NW,0.0,0.0
2023-03-01,NW,0.0,0.0
2023-04-01,NW,0.0,0.0
2023-05-01,NW,0.0,0.0
2023-06-01,NW,0.0,0.0
2023-07-01,NW,0.0,0.0
2023-08-01,NW,0.0,0.0
2023-09-01,NW,0.0,1.0
2023-10-01,NW,0.0,0.0
2023-11-01,NW,0.0,0.0
2023-12-01,NW,0.0,0.0
2024-01-01,NW,0.0,0.0
2024-02-01,NW,0.0,0.0
2024-03-01,NW,1.0,0.0
2024-04-01,NW,0.0,0.0
2024-05-01,NW,0.0,0.0
2024-06-01,NW,2.0,0.0
2024-07-01,NW,0.0,0.0
2024-08-01,NW,0.0,8.0
2024-09-01,NW,1.0,18.0
2024-10-01,NW,0.0,19.0
2024-11-01,NW,1.0,10.0
2024-12-01,NW,4.0,10.0
2025-01-01,NW,7.0,20.0
2025-02-01,NW,4.0,14.0
2025-03-01,NW,5.0,10.0
2025-04-01,NW,2.0,5.0
2025-05-01,NW,1.0,5.0
2025-06-01,NW,5.0,4.0
2025-07-01,NW,1.0,0.0
2025-08-01,NW,2.0,6.0
2025-09-01,NW,3.0,5.0
2025-10-01,NW,0.0,1.0
2025-11-01,NW,0.0,0.0
2025-12-01,NW,0.0,0.0
2017-01-01,NE,0.0,0.0
2017-02-01,NE,0.0,0.0
2017-03-01,NE,0.0,0.0
2017-04-01,NE,0.0,0.0
2017-05-01,NE,0.0,0.0
2017-06-01,NE,0.0,0.0
2017-07-01,NE,0.0,0.0
2017-08-01,NE,0.0,0.0
2017-09-01,NE,0.0,0.0
2017-10-01,NE,0.0,0.0
2017-11-01,NE,0.0,0.0
2017-12-01,NE,0.0,0.0
2018-01-01,NE,0.0,0.0
2018-02-01,NE,0.0,0.0
2018-03-01,NE,0.0,0.0
2018-04-01,NE,0.0,0.0
2018-05-01,NE,0.0,0.0
2018-06-01,NE,0.0,0.0
2018-07-01,NE,0.0,0.0
2018-08-01,NE,0.0,0.0
2018-09-01,NE,0.0,0.0
2018-10-01,NE,0.0,0.0
2018-11-01,NE,0.0,0.0
2018-12-01,NE,0.0,0.0
2019-01-01,NE,1.0,0.0
2019-02-01,NE,0.0,0.0
2019-03-01,NE,0.0,0.0
2019-04-01,NE,0.0,0.0
2019-05-01,NE,0.0,0.0
2019-06-01,NE,0.0,0.0
2019-07-01,NE,0.0,0.0
2019-08-01,NE,0.0,0.0
2019-09-01,NE,0.0,0.0
2019-10-01,NE,0.0,0.0
2019-11-01,NE,1.0,0.0
2019-12-01,NE,0.0,0.0
2020-01-01,NE,0.0,0.0
2020-02-01,NE,0.0,0.0
2020-03-01,NE,0.0,0.0
2020-04-01,NE,0.0,0.0
2020-05-01,NE,0.0,0.0
2020-06-01,NE,0.0,0.0
2020-07-01,NE,0.0,0.0
2020-08-01,NE,0.0,0.0
2020-09-01,NE,0.0,0.0
2020-10-01,NE,0.0,0.0
2020-11-01,NE,0.0,0.0
2020-12-01,NE,0.0,0.0
2021-01-01,NE,0.0,0.0
2021-02-01,NE,0.0,0.0
2021-03-01,NE,0.0,0.0
2021-04-01,NE,0.0,0.0
2021-05-01,NE,0.0,0.0
2021-06-01,NE,0.0,0.0
2021-07-01,NE,0.0,0.0
2021-08-01,NE,0.0,0.0
2021-09-01,NE,0.0,0.0
2021-10-01,NE,0.0,0.0
2021-11-01,NE,0.0,0.0
2021-12-01,NE,0.0,0.0
2022-01-01,NE,0.0,0.0
2022-02-01,NE,0.0,0.0
2022-03-01,NE,2.0,0.0
2022-04-01,NE,0.0,0.0
2022-05-01,NE,2.0,0.0
2022-06-01,NE,6.0,0.0
2022-07-01,NE,14.0,0.0
2022-08-01,NE,39.0,0.0
2022-09-01,NE,7.0,0.0
2022-10-01,NE,2.0,0.0
2022-11-01,NE,2.0,0.0
2022-12-01,NE,2.0,4.0
2023-01-01,NE,0.0,6.0
2023-02-01,NE,0.0,0.0
2023-03-01,NE,0.0,0.0
2023-04-01,NE,0.0,0.0
2023-05-01,NE,0.0,0.0
2023-06-01,NE,0.0,0.0
2023-07-01,NE,0.0,0.0
2023-08-01,NE,0.0,0.0
2023-09-01,NE,0.0,1.0
2023-10-01,NE,0.0,0.0
2023-11-01,NE,0.0,0.0
2023-12-01,NE,0.0,0.0
2024-01-01,NE,0.0,0.0
2024-02-01,NE,0.0,0.0
2024-03-01,NE,0.0,0.0
2024-04-01,NE,0.0,0.0
2024-05-01,NE,0.0,0.0
2024-06-01,NE,0.0,0.0
2024-07-01,NE,0.0,0.0
2024-08-01,NE,0.0,8.0
2024-09-01,NE,2.0,18.0
2024-10-01,NE,3.0,19.0
2024-11-01,NE,4.0,10.0
2024-12-01,NE,1.0,10.0
2025-01-01,NE,1.0,20.0
2025-02-01,NE,1.0,14.0
2025-03-01,NE,2.0,10.0
2025-04-01,NE,0.0,5.0
2025-05-01,NE,0.0,5.0
2025-06-01,NE,0.0,4.0
2025-07-01,NE,0.0,0.0
2025-08-01,NE,0.0,6.0
2025-09-01,NE,0.0,5.0
2025-10-01,NE,1.0,1.0
2025-11-01,NE,0.0,0.0
2025-12-01,NE,0.0,0.0
